Article,Date,Heading,NewsType
"strong>LONDON: Flight bookings to Britain rose in the month following the country's vote to leave the European Union as international visitors sought to take advantage of a cheaper UK-based holiday after a slump in the pound.</strongInbound flight reservations rose 4.3 percent in the 28 days to July 21 compared to the same period last year, according to travel information firm ForwardKeys, reversing the trend in the month before the referendum when bookings were 2.8 percent lower.Britain's vote to leave the EU on June 23 prompted the pound to weaken against both the dollar and the euro by around 10 percent, making it cheaper for holders of those currencies to visit the UK. GBP = ForwardKeys put the pick-up in bookings to Britain down to the change in the exchange rate.""Brexit had an immediate, positive impact on inbound tourism to the UK, which is converting into better than anticipated arrivals,"" ForwardKeys Chief Executive Olivier Jager said in a statement on Monday.Bookings from outside Europe were up 8.6 percent in the 28 days after Brexit compared with the same period last year, having been down 0.1 percent the month before Brexit, driven by visitors from Hong Kong, the United States and Canada.Bookings from Europeans were 1.8 percent lower than the same month last year in the post-Brexit month, an improvement on the 6.8 percent decline recorded in the pre-Brexit month.The rise in visitor numbers could provide a boost to tourist attractions, hoteliers, restaurants and shops across Britain, some of which are already expecting to benefit from higher numbers of Brits deciding to holiday in the UK, the trend toward the so-called ""staycation"" during tough economic times.",8/8/2016,Flight bookings Britain rise Brexit weakens pound,business
"strong>ISLAMABAD: Pakistan Tourism Development Corporation’s (PTDC) Motels in Northern Areas and Murree are earning good business from the start of the summer season of this year.</strongDue to rush of domestic tourists from across the country the Motels are remained book by tourists throughout the season.An official of PTDC Mukhtar Ali told APP that most of the people wanted to enjoy summer vacations with their families in popular destinations like Murree, Ayubia, Nathiagali, Swat Valley and other Northern areas.He said that PTDC was analyzing the trend of the tourism and at the end of the season a detail report would be issued for bringing further improvement in the sector.An official of PTDC Motel Swat Valley said that this year the numbers of tourists were increased and sometime they were not able to entertain every tourist in the season.He said that after long time in Swat Valley such a big number of tourists were witnessed to visiting the valley.He said that similar situation was being witnessed in PTDC motels of others areas.He said that Kalam was one of top visited place by the people in current season adding that Kalam had all ingredients to be termed as top tourist destination in the country.",8/8/2016,Summer season brings boost business PTDC M,business
"strong>TOKYO: Tokyo stocks opened sharply higher Monday following another record on Wall Street after traders welcomed strong US jobs data.</strongThe benchmark Nikkei 225 index rallied 1.28 percent, or 207.84 points, to 16,462.29 in opening deals, while the broader Topix index of all first-section shares soared 1.23 percent, or 15.71 points, to 1,295.61.",8/8/2016,Tokyo stocks track Wall Street rally at ,business
"strong>TEHRAN: Iran said on Tuesday it would auction off property owned by billionaire Babak Zanjani, who was sentenced to death for corruption earlier this year.</strongA number of luxury villas and apartments, shops and other properties will be sold, reported the Mizan Online newspaper, which is close to the judiciary.Bidders must make their offers in sealed envelopes by August 20, it added.Zanjani, 41, was sentenced to death for fraud and other financial crimes in March after a lengthy trial during which he was accused of fraudulently pocketing $2.8 billion.He rose to prominence after the international community imposed sanctions on the Islamic republic´s banks as punishment over its nuclear programme.Zanjani boasted in media interviews of his wealth and skills in finding ways round banking restrictions to ensure Iran continued to receive money for international oil sales, saying he acted at all times with the support of then-president Mahmoud Ahmadinejad.He said he used a web of companies in countries including the United Arab Emirates, Turkey and Malaysia, selling millions of barrels of Iranian oil.Zanjani was arrested in December 2013, three months after current President Hassan Rouhani took office, having pledged to crack down on corruption.",8/9/2016,Iran auction property death row ty,business
"strong>KARACHI: Oil and Gas Regulation Authority (OGRA) spokesman has categorically stated that Compressed Natural Gas (CNG) cannot be sold in litres in Sindh province.</strongThe spokesman for the regulatory body said, “Sale of CNG in litre in Sindh is illegal. Strict actions will be taken against those violating the orders.”He said OGRA has sent letter to CNG Associations regarding the issue. Different inspection teams have been formed to collect data of CNG pumping stations in Karachi.",8/10/2016,Sale of CNG in litres illegal in Sindh OGRA,business
"strong>TOKYO: Tokyo stocks opened lower Wednesday as a stronger yen hit exporters and following a lacklustre lead from Wall Street.</strongThe benchmark Nikkei 225 index slipped 0.39 percent, or 65.89 points, to 16,699.08 in opening deals, while the broader Topix index of all first-section shares fell 0.42 percent, or 5.51 points, to 1,311.98.",8/10/2016,Tokyo stocks down at ,business
"strong>WASHINGTON: Huffington Post co-founder Arianna Huffington said on Thursday she would leave the company to focus on running her new venture, health and wellness startup Thrive Global.</strong""I thought HuffPost would be my last act. But I've decided to step down as HuffPost's editor-in-chief to run my new venture, Thrive Global,"" she tweeted.Thrive Global, which will offer services to companies to improve the well-being of their employees, recently closed a Series A funding round ahead of a launch in the fall.Verizon Communications Inc owns the Huffington Post through AOL, which bought the liberal American online news aggregator and blog for $315 million in February 2011.",8/11/2016,Arianna Huffington leave Huffington P,business
"strong>ZURICH: Switzerland's highest court has ordered Israel to pay Iran around $1.1 billion plus interest in a decades-old dispute over a secretive oil pipeline company predating the 1979 Islamic revolution which made the countries enemies.</strongThe Swiss Federal Tribunal rejected an appeal, citing lack of due process, against an arbitration ruling last year. The verdict, dated June 27, was available on the Lausanne court's website.It also awarded Iran 450,000 Swiss francs ($461,302) in court costs and lawyer fees.It remains unclear whether Israel will pay up given restrictions its ""trading with the enemy"" laws.Lawyers for each side had been locked in an arbitration over the Eilat-Ashkelon Pipeline Co (EAPC), a joint venture set up in 1968, when the two nations were friendly, to transport Iranian oil to the Mediterranean.For a decade, the pipeline successfully carried oil from the Red Sea for export to Europe. But since the Islamic revolution that brought the ayatollahs to power, Iran has been demanding its share of revenues and assets that remained in Israel.Since the partnership collapsed, EAPC has grown into a complex of energy assets, now mostly handling oil from former Soviet states.How much profit it has made or how much it is worth is unknown, largely because it is protected in a similar way to Israel's intelligence agencies, including by gag orders restricting coverage of its activities.But Tehran, setting aside its decades-old refusal to recognise Israel's right to exist, had determined to recoup its part of EAPC and pursued a complex arbitration case since 1994, first in France and then in Switzerland.In that time, the company has become the largest distributor of oil in Israel, with ambitions to become a major hub for energy trading in the Mediterranean. Israel maintains tight controls over EAPC.The company has its roots in the 1967 Middle East war, when Egypt blocked the Suez Canal, making it impossible for Iran to transport its oil by tanker to Europe. Under the EAPC deal, Iranian tankers would unload at the Red Sea port of Eilat and oil would flow 254 km (158 miles) northwest to Ashkelon.The countries formed a straw company in Halifax, Canada called APC Holdings, the primary shareholder in EAPC. By December 1969 the pipeline was ready to handle 60 million tons of crude a year, though it never reached that level.A decade later Iran's Shah was ousted and the partners in EAPC became enemies overnight.Lawyers for both countries have declined to comment.Case number: 4A_322/2015 ($1 = 0.9755 Swiss francs)",8/11/2016,Swiss court backs Iran decades old oil row Isr,business
"strong>DUBAI: It´s been an eventful few days for Mohammad Basheer Abdul Khadar, an Indian living in Dubai.</strongIn the space of a week, he survived a crash landing at Dubai airport then won $1 million in a lottery organised by the airport´s duty free operator, Gulf News reported.The 62-year-old was flying home from holidays with family in India when the Boeing 777 in which he was travelling caught fire on landing with 300 people on board.The accident on Wednesday shut down the Middle East´s busiest airport for several hours, forcing authorities to cancel hundreds of flights. All the passengers and crew escaped unharmed, but a firefighter died tackling the blaze.Just six days later, Khadar discovered that the lottery ticket he´d bought on the way to India was now worth $1 million.A fleet administrator with a Dubai car dealership, Khadar told Gulf News he habitually bought a lottery ticket on his way to visit family in the southern Indian state of Kerala.Ticket number 845 in the ""Millenium Millionaire"" draw at the airport´s Dubai Duty Free proved to be his winning shot.""I live a simple life, and now that it´s my time to retire, I feel like God gave me a second life when I survived the plane crash, and blessed me with this money to follow all this up by doing good things,"" he told Gulf News.Khadar has lived in Dubai for 37 years and is married with two children, one of whom is paralysed after a fall early on in his childhood, reported Gulf News.Khadar told Gulf News he was planning to return to Kerala to retire and would use the money to help children in Kerala who need financial support.He said he earns around $2,200 (2,000 euros) a month, and would continue to work as long as he could.""Nothing else can give you the satisfaction of your hard-earned money,"" he said.",8/11/2016,Dubai plane crash survivor hits 1m j,business
"strong>ISLAMABAD: The newly introduced sales tax automation system would help generate additional billions of rupees for the national exchequer besides ensuring transparency discipline and proper monitoring of sales and purchase all across the country.</strongThe Sales Tax Real time Invoice Verification Strive System has been put in place to check leakages in the tax system and improve overall revenue collections, Member Sales Tax Dr. M. Irshad said while talking to APP here.He said that the purpose of the system was to check under invoicing as well as flying invoicing which has been causing damages of billions of rupees to the government in terms of tax evasion.He said that although the system has been put in place since the commencement of the current fiscal year however the actual impact could be evaluated after August 18 when the FBR receives returns from the sales taxpayers.“We expect that with the help of this system additional Rs40 to Rs 50 billion per annum revenue could be collected by checking and removing the loopholes and leakages,” he added.As per the system all the companies and individuals involved in selling of goods would be bound to submit electronically their invoices of previous month to the FBR by 10th of next month and later file their returns by 18th of that month.This practice would help FBR to recheck and re examines the tax collection when the invoices and actual files are submitted hence it would not only help check the bottlenecks in the tax collection system but would also make the overall system transparent.He said that since the system was in place since July 1 2016 so the sales taxpayers are bound to submit their invoices (annexes) by 10th of August and file their returns by August 18. The board would then make cross check to ensure that no under voicing and flying invoicing has been included for the purpose of tax evasion, he told APP.He was of the view that FBR had been facing such problems for a long time and it was after long consideration that this software has been developed to overcome the problems.He said that before launching the software the FBR had launched a pilot project and approached businessmen and chambers to inform them and create awareness among them regarding the system.The member ST FBR said that similar systems have been developed to check sales tax evasion by vendors and electricity distribution companies (Discos) all across the country.In future two more software are being developed to introduce same facility in the real estate business and motor registration system.He said that the FBR has taken many incentives to revamp the existing sales tax system to facilitate taxpayers and also improve revenue collection system by making it taxpayer friendly transparent and disciplined.Meanwhile the FBR and Auditor General for Pakistan Revenues (AGPR) have joined hands to check tax evasions of billions of rupees by monitoring sale and purchase activities of government vendors.The FBR in collaboration with AGPR has put a mechanism in place to monitor and access complete data of sale and purchase of government vendors through Monitoring and Invoice Verification System in order to check almost 80 percent of the sales tax evasion by the vendors, a senior official of the board told APP.As per the common practice the government vendors were filing only one fifth of the sales tax on Sales Tax Return Number (STRN) with Accountant General Office (AG) on their own while evading 80 percent government tax due to non availability of the STN verification facility at AGP.The purpose is to check the malpractice that has been inflicting huge loss to national exchequer in terms of tax evasion adding that with this system the cross verification of the STRN of all the vendors working with government could be verified.The FBR would also involve District Controller Accounts for properly accessing the data of the government vendors and contractors and ask them for filing of 80 percent sales tax account in order to recover huge amount evaded in terms of the sales tax.",8/12/2016,Sales Tax initiatives check huge tax evasi,business
"strong>NEW YORK: Oil prices rose sharply on Thursday after Saudi Arabia´s energy minister said producers may take action to help rebalance global oil markets.</strongThe remarks helped send prices up more than 4 percent in New York, where a barrel of West Texas Intermediate for September delivery closed up $1.78 at $43.49, after having lost more than a dollar the day before.In London, North Sea Brent for October delivery rose $1.99 to $46.04 a barrel on the Intercontinental Exchange.<br/>Matt Smith of ClipperData said the whipsawing of prices was ""crazy.""Smith said oil prices had dropped Wednesday after Saudi oil production figures showed the country´s output had risen last month to nearly 11 million barrels per day.But in remarks reported Thursday, Saudi oil minister Khalid al-Falih said an informal meeting of the Organization of the Petroleum Exporting Countries (OPEC) scheduled for next month would be the occasion for producers to discuss ""any possible action.""Saudi Arabia´s offer to take action was ""completely at odds with this production data,"" Smith told AFP.<br/>James Williams of WTRG Economics said markets were in an ""ongoing battle.""""It´s between reality and possibilities, if you will,"" he told AFP. ""The reality is the market continues to be oversupplied, with (a) really big increase in Saudi output last month.""",8/12/2016,Oil prices surge on Saudi ministers talk of possible acti,business
"strong>KARACHI: CNG stations across Sindh resumed supply after a three-day long strike.</strongAccording the Geo New, CNG from today will be sold in kilograms and not litres.The strike was called off after a round of successful talks on Friday between CNG Association and government.In a press conference held after the meeting representatives of the CNG Association told media that they had met Oil and Gas Regulatory Authority (OGRA) officials and the petroleum minister in Islamabad on August 11.During the meeting the CNG Association explained their issues with the government.It is stated that another meeting between stakeholders will be held in Karachi.Oil and Gas Regulation Authority (OGRA) spokesman, earlier, has categorically stated that Compressed Natural Gas (CNG) cannot be sold in litres in Sindh province.He said OGRA has sent letter to CNG Associations regarding the issue. Different inspection teams have been formed to collect data of CNG pumping stations in Karachi.",8/13/2016,CNG supply resumes Sindh three day long stri,business
"strong>KARACHI: Pakistani nation is ready to walk in the right directions with the help of country’s first indigenously developed digital mapping solution.</strongThe country’s largest tracking solutions provider TPL Trakker has launched TPL Maps, created using state-of-the-art technology, are inlayed with smart features that provide real-time intelligent routing, live traffic updates, turn-by-turn navigation options and smart search amongst a host of other features.Briefing about the digital maps, Ali Jameel, CEO, TPL Trakker Ltd. Stated, “TPL Maps have been developed indigenously and I firmly believe that these localized mapping solutions will provide a holistic navigational experience to people all over Pakistan,” and added “Globally, maps have taken the center stage for e-commerce, fintech, advertising and games.”He said today we have enabled Pakistan to leverage the power of Maps for businesses, consumers and the Government sector.“This is just the beginning of a new era for technology in the country and we are honored to be in the driving seat of this change,” he maintained.He said these maps also correctly showcase Kashmir and Gilgit-Baltistan as a part of Pakistan.Company’s Product Manager Asim Mushtaq and the Head of Maps Adeel Hashmi were also present at the occasion and briefed the media.Adeel Hashmi said that with over 22,000 hours of research, TPL Maps have been developed with data collected over the last 15 years by a dedicated team of over 100 IT &amp; GIS analysts who have worked diligently to make these maps a reality.“TPL Trakker aims to add further innovation and exciting features in upcoming releases,” he added.Asim Mushtaq said the TPL Maps boost of 1.5 million points-of-interest (POIs) – this is the highest number of POIs compared to any other mapping service in Pakistan.“With close to a million housing addresses, the largest collection of housing data ever recorded, TPL Maps have approximately 1,000 3D building models and approximately 300,000 kilometers of road network mapped across the country,” he concluded.TPL Maps app can be downloaded from Google Play Store and Apple App Store.",8/15/2016,Pakistan ready walk right directions TPL M,business
"strong>NEW DELHI: Prime Minister Narendra Modi said India was becoming the world´s most attractive destination for foreign investors Monday, using his annual Independence Day speech to trumpet sweeping tax reforms designed to spur growth.</strongIn an address from Delhi´s 17th-century Red Fort, Modi sought to highlight his government´s achievements, including the recent passage of a landmark tax reform, that have contributed to India´s robust growth during a global slowdown.""Be it the World Bank, the IMF (International Monetary Fund), World Economic Forum or even credit rating agencies, all the institutions of the world have appreciated India´s development,"" Modi said.""Thanks to India´s continuous reforms and improvement in its laws and systems, a change in its approach -- the world is watching us,"" he added.""We have improved India´s rank in ease of doing business rapidly. India has become the most favoured nation in the world for foreign direct investments. India has outpaced some of the biggest nations in the world with its growth rate, GDP (gross domestic product).""India´s GDP expanded 7.6 percent in 2015-16, making it the fastest-growing major economy in the world and outpacing its rival China´s growth rate.He went on to thank all political parties for clearing earlier this month the long-awaited Goods and Services Tax (GST) bill, which had been blocked by the opposition since he came to power in 2014.The bill will replace a patchwork of central and state levies on goods and services and marks India´s most significant economic reform in decades.Modi said his government had been successful in bringing down retail inflation from double digits to six percent, adding that he was working with the central bank to lower prices to four percent with a plus or minus-two percent band.""I will continue to strive hard to ensure that this inflation doesn´t affect the food plate of the poor,"" he said.",8/15/2016,Modi hails sweeping reforms Indias fast gr,business
"strong>TOKYO: Tokyo´s benchmark index ended Monday morning trade unchanged, clawing back early losses driven by news that the Japanese economy stalled in the second quarter.</strongThe Nikkei 225 was flat, edging up 0.79 points, to 16,920.71 by the lunch break, while the broader Topix index of all first-section shares fell 0.17 percent, or 2.30 points, at 1,320.92.",8/15/2016,Tokyo stocks under pressure on weak Japan GDP,business
"strong>KARACHI: Pakistan shares closed at an all-time high on Tuesday, helped by gains in food and personal care, oil and cement stocks.</strongThe benchmark 100-share index of the Pakistan Stock Exchange closed 0.05 percent, or 19.65 points, higher at 40,050.17.""Market witnessed more of a consolidation above the 40,000 level as the results season continues,"" said Fawad Khan, head of research at KASB Securities Pvt Ltd.Dewan Cement Ltd gained 0.16 percent, Lucky Cement Ltd rose 0.70 percent and Kohat Cement Co Ltd climbed 2.41 percent.Nestle Pakistan Ltd gained 0.87 percent, while Oil and Gas Development Co Ltd rose 0.45 percent.The rupee ended at 104.67/104.71 per dollar, compared with Monday´s close of 104.66/104.70.Overnight rates in the money market fell to 5.85 percent from Monday´s close of 5.90 percent. ",8/16/2016,Pakistan Stock Exchange ends all time hig,business
"strong>SINGAPORE: Oil prices eased in Asia Tuesday as doubts emerged that Saudi Arabia and other major producers would reach an agreement to freeze output during a meeting next month.</strongMembers of the Organization of Petroleum Exporting Countries (OPEC) as well as non-members are scheduled to meet informally in Algeria in September, and Saudi Arabia´s oil minister Khalid al-Falih has hinted that producers could discuss actions to stabilise prices.His remarks last week sparked a price rally as they were widely seen as a suggestion that OPEC could revive talks on trimming high output levels.Prices continued their rise in New York Monday after Russian Energy Minister Alexander Novak said his country was working with Saudi Arabia to achieve oil market stability -- suggesting a possible production freeze in cooperation with OPEC.But analysts said there were doubts an accord would be reached.""Some doubt about a possible deal to freeze output could have set in,"" IG Markets Singapore analyst Bernard Aw told AFP.Aw recalled that a previous attempt to freeze output at January 2016 levels failed in April after Saudi Arabia said it wanted all producers, including Iran, to be part of the agreement.Iran had refused, saying it needed to regain market share lost during years of Western economic sanctions over its nuclear ambitions. The sanctions were lifted in January.""Investors are wondering: if Iran doesn´t participate in any such discussions, would Saudi Arabia still be amenable?"" Aw said.At around 0700 GMT, US benchmark West Texas Intermediate for delivery in September was down 36 cents, or 0.79 percent, to $45.38 and Brent crude for October dropped 41 cents, or 0.85 percent, to $47.94.Nigerian Petroleum Minister of State Emmanuel Kachikwu in a Twitter post Monday also voiced doubts about output cuts by OPEC.""On oil production cuts by OPEC, optimism on my part is quite sparse,"" he said. OPEC member Nigeria is Africa´s biggest oil exporter.Oil prices had entered a ""bear"" market at the start of the month on oversupply concerns, falling more than 20 percent and closing below $40 a barrel for the first time since April.Any agreement to curb production would help rebalance the crude oil market, where output has been running ahead of demand.""The chances of a deal actually occurring at next month´s OPEC meeting are minimal,"" Angus Nicholson, a strategist at IG Markets, said in an email commentary.""The Saudis are happy to commit to some sort of OPEC-wide supply freeze deal so long as Iran is party to it. And Iran refuses to agree to any deal that will inhibit them from lifting their oil output to pre-sanctions levels.""",8/16/2016,Oil halts rally market weighs chance output freez,business
"strong>LONDON: From computers and cars to carpets and food, Britain´s decision to leave the EU is beginning to hit consumers in the pocket, having already spread uncertainty through the property market.</strongThe consequences of the shock vote have so far been mainly theoretical, but recent data suggest that the country´s tumbling currency is about to reach the High Street.The pound has lost 10 to 15 percent of its value against the euro and the dollar since the June 23 referendum, raising the price of goods primarily supplied by foreign companies such as automobiles, computers, clothing and some foods.Carmaker Peugeot told AFP that it had raised prices by an average of two percent since August 1 for models of its three flagship brands: Peugeot, Citroen and DS.Similarly, Dell computer group said it now had to factor the cost of components, denominated in dollars, into the price of its products in Britain.British group Headlam explained that the pound´s plunge had also increased the cost of its domestic floor coverings, imported mainly from Belgium and the Netherlands, by around six percent.All eyes are now turning to food and property, which have been relatively unscathed, but which many fear could see similar price fluctuations.Fierce competition among supermarkets desperate to maintain market share normally provides a bulwark against sharp inflation in food prices, but Brexit could rewrite the rules, said Fraser McKevitt, an analyst at Kantar group´s London office.""We wouldn´t expect to see anything come through immediately, but if sterling does remain weak, we are likely to see impact on some prices,"" he told AFP.""Around 40 percent of food in the UK is imported.""strong>- Diluted purchasing power -</strongPrice comparison website mysupermarket.com has already reported an increase of one percent in the price of an average basket of supermarket goods in July, blaming ""fears of Brexit"" for the second consecutive month of price hikes.There are also fears over the UK housing market, but deflation is more of a concern than price rises in this key sector.Figures released Monday showed that residential rents for new lets in London had fallen for the first time in six years, according to the first study published on the issue since Britain voted to leave the European Union.While good news for tenants, it will leave landlords worse off.In addition, homeowners have seen the value of their property rise on average by just 2.1 percent in the year up tol August, a slowdown from the breakneck growth of recent years, according to property website Rightmove.Despite Brexit´s tremors being felt in the economy, official figures do not yet reveal wild price fluctuations, reporting only a slight rise in inflation of 0.6 percent in July.But experts expect stronger inflation growth over the next few months, boosted by the increased costs of imported goods and more volatile goods such as alcoholic drinks.The Bank of England has also deployed monetary weapons in an attempt to stop the economy sliding into recession, which are expected to increase the money supply and as a result boost inflation and further weaken the pound.Britons hoping for a pay rise to compensate for increased costs are likely to be disappointed, according to analysts.""It looks probable that consumer purchasing power will be significantly diluted over the coming months as inflation trends higher and earnings growth is limited,"" warned Howard Archer from IHS Global Insight.""Companies may well look to clamp down on workers´ pay as they strive to save costs in a more difficult environment.""Workers lucky enough to see a rise in their salary thanks to a fall in low-skilled immigration are unlikely to enjoy a marked increase in living standards due to the general slowdown of the post-Brexit economy, a report published by the Resolution Foundation said Tuesday.",8/17/2016,British shoppers begin feel post Brexit pi,business
"strong>TOKYO: Tokyo stocks rose early Wednesday in thin trade, snapping two sessions of decline despite a negative lead from global financial markets.</strongOn Wall Street, all three major indices moved off record highs Tuesday after senior US central banker William Dudley suggested an interest rate hike could possibly come as early as next month.The greenback rose to 100.42 yen from 100.30 yen in New York, after briefly touching as low as 99.54 yen in overnight trading, falling under the 100 level for only the second time this year.But the dollar´s position remained largely unaffected by Dudley´s remarks. ""Considering how much the yen has strengthened, Japanese shares are showing resilience,"" Chihiro Ohta, a senior strategist with SMBC Nikko Securities, told Bloomberg News.""However, there aren´t any reasons to actively buy Japanese stocks right now.""About 30 minutes after the opening bell, the benchmark Nikkei 225 index gained 0.48 percent, or 79.27 points, to 16,675.78, rebounding after ending two sessions in the red.The broader Topix index of all first-section shares advanced 0.39 percent, or 5.03 points, to 1,303.50.Trading was thin with many investors away for Japan´s week-long, though unofficial, Obon holiday.<br/>In early share trading, Toyota tacked on 1.60 percent to 5,969 yen, while Uniqlo operator Fast Retailing, a market heavyweight, jumped 1.36 percent to 37,000 yen.Among other gainers, energy explorer Inpex soared nearly four percent to 870.3 yen and refiner JX Holdings added about one percent to 381.2 yen.On Wall Street on Tuesday, the Dow ended down 0.5 percent, the broad-based S&amp;P 500 shed 0.6 percent and the tech-rich Nasdaq lost 0.7 percent.",8/17/2016,Tokyo stocks up in early trade despite global ,business
"strong>ROME: Anyone with internet access and a passion for seafood will soon be able to track commercial fishing trawlers all over the world, with a new tool that its developers hope will help end the overfishing that has decimated the world's fish stocks.</strongMillions of people depend on fish to survive, and fish will be vital to feeding the world's growing population that is predicted to reach 9.7 billion people by 2050, the United Nations says.But overfishing has diminished fish stocks, and illicit fishing is threatening people's access to food in many poor countries, according to the United Nations.""We currently have around 450 million people globally who get their primary source of food from the ocean. This is 450 million meals a day under threat,"" said Lasse Gustavsson, executive director of Oceana in Europe on Wednesday.""To solve the overfishing problem, including illegal fishing, we want to create transparency in the oceans,"" Gustavsson told the Thomson Reuters Foundation from Madrid.Oceana, an international conservation organisation, together with Google and SkyTruth, a nonprofit group that uses aerial and satellite images to track changes in the landscape, are due to launch the Global Fishing Tracker within weeks.The public, non-governmental organisations and local authorities will be able to use it to monitor coastlines and marine conservation areas, follow individual boats in near real-time and track what boats of a particular flag are doing.It will be especially useful for countries like Madagascar which have few resources to patrol and monitor their own coastlines, Oceana said.""You can slice that piece of data in many different ways which we think will be helpful when it comes to law enforcement, increasing public understanding, and catching the kind of people who are doing stuff they shouldn't be doing,"" said Gustavsson.Some 30 percent of fish stocks were overfished in 2013, up from 10 percent in 1974. Most of the remaining stocks are fully fished, the U.N. Food and Agriculture Organization (FAO) said.At risk are hundreds of millions of people who depend on fisheries to earn a living, for food and nutrition, according to the FAO.The industry has vessels operating all over the world - some 15,000 European Union-registered fishing boats work off the coast of West Africa for example. Although legal, it is unsustainable, according to Oceana.Fish stocks will quickly bounce back if areas where fish spawn are protected, if fish stocks are managed scientifically, and if destructive and illegal fishing ended, Gustavsson said.""If we do all the right things now, in 10 years we will have twice as much fish in the ocean globally,"" he said.""We could increase the number of meals from 450 million a day today to maybe 1 billion.""An international agreement to curb illegal, unregulated and unreported fishing came into force in June.The Agreement on Port State Measures to Prevent, Deter and Eliminate Illegal, Unreported and Unregulated Fishing allows a country to block ships it suspects of illicit fishing, stopping their catches from entering local and international markets.It will be a key driver in the international community's fight against illicit fishing, FAO said.",8/18/2016,Ever wanted track where fish comes from Now you ,business
"strong>SINGAPORE: Oil prices eased slightly in Asia Thursday amid reports OPEC kingpin Saudi Arabia would further raise output in August.</strongPrices hit five-week highs this week, supported by hopes that a Russian-Saudi cooperation may reach a pact to freeze output, easing the stubborn supply glut dogging the market since late last year.OPEC members and their non-OPEC rivals are to meet informally in Algeria next month, and both Saudi and Russia have indicated they could discuss measures to stabilise prices.The market was boosted further on Wednesday after the weekly US inventories report showed significant declines in commercial crude stockpiles, indicating strong demand in the world´s top oil consumer.US crude stockpiles fell by 2.5 million barrels in the week to August 12, and gasoline stocks declined 2.7 million barrels, official data showed.Analysts however, said gains were being eroded by media reports that Saudi Arabia, OPEC´s top producer, is ramping up production to fresh record levels in August.Saudi output was at a record 10.67 million barrels per day in July.""The upside is capped by Saudi´s signals of pumping more oil in August, which could give the Kingdom more leverage during talks in Algeria next month,"" said EY Services oil and gas head Sanjeev Gupta.""The oil market will continue to seesaw amid scepticism over the coordinated efforts to stabilise output,"" he told AFP by email.At about 0500 GMT, US benchmark West Texas Intermediate for September delivery was down two cents to $46.77 while North Sea Brent was down 16 cents to $49.69. Both contracts closed higher Wednesday.Stephen Innes, senior trader at OANDA, said prices are on the slide ""as optimism faded for a freeze production agreement... after Iran communicated little interest in the arrangement"".A Saudi-led attempt to freeze output at January 2016 levels failed in April after rival oil producer Iran refused to be part of the deal, saying it needed to raise production dented by years of Western economic sanctions, which were lifted in January.""What needs closer monitoring are the industry-sourced reports that Saudi Arabia could boost crude oil output in August to record levels,"" Innes said.IG Markets´ Melbourne-based analyst Angus Nicholson said there were ""concerns that Saudi Arabia may continue producing oil at their summer output levels rather than following their usual seasonal slowing of production"".",8/18/2016,Oil dips Asia Saudi Arabia output boost repor,business
"strong>KARACHI: Pakistan stocks ended at a record high on Monday after State Bank of Pakistan left interest rates unchanged last week, dealers said.</strongThe benchmark 100-share index on the Pakistan Stock Exchange closed up 0.75 percent at 39,800.64. It hit an all-time high of 39,917.13 during the session.The SBP in its monetary policy announcement on Saturday kept its discount rate unchanged at 5.75 percent.""Unchanged interest rates in monetary policy announcement led to investor interest in banks, creating a positive sentiment in the first session of the week,"" said Hammad Aman, manager equity sales at Topline Securities Pvt Ltd.United Bank Ltd gained 0.60 percent, MCB Bank Ltd was up 1.58 percent, Bank Alfalah Ltd rose 4.18 percent and National Bank of Pakistan gained 4.99 percent.The rupee ended at 104.81/104.85 against the dollar, unchanged from Friday´s close.Overnight rates in the money market fell to 5.40 percent from Friday´s close of 6.30 percent.",8/1/2016,Pakistan stocks end record hig,business
"strong>Islamabad: International financial market analysis firm BMI says that Pakistan will be developed as manufacturing hub over the coming years.</strongAccording to a Business Monitor International report, Pakistan will be among top 10 emerging markets from Asia and Africa in future because of its economic growth over the next ten years.The report reveals that Pakistan whose current primary sector is agribusiness with textile and rice being the key exports is expected to become a manufacturing hub in coming years.BMI says textile and automotive sectors in Pakistan are showing the fastest growth rate.The domestic manufacturing investment is also expected to be boosted considering the lower energy prices and an improved domestic energy supply.Pakistan whose current primary sector is agribusiness with textile and rice being the key exports is expected to become a manufacturing hub in the coming years. In the beginning of BMI’s Forecast period the textile and automotive sector presented a faster growth.The domestic manufacturing investment is expected to be boosted considering the lower energy prices and an improved domestic energy supply.",8/1/2016,Pakistan will be among top 10 emerging markets from Asia BMI,business
